id,title,title2,description,race,job/role,weapon/skill,anti-hero,recommended,nsfw
100923,Jaryuu Tensei,Evil Dragon Reincarnation,"Death is the end... at least, that is the 
case for most people. After an ordinary salesman dies in a car crash 
caused by a couple making out, he is reincarnated in another world as a 
fierce and powerful dragon. However, being an evil dragon has its own 
share of problems, as adventurers and evil-beings alike seek him out in 
attempts to slay him. 



Kuroe, one adventurer who hasn't given up on defeating the dragon, keeps
 facing him in order to test herself and prove her mettle. But after 
suffering another loss, Kuroe and the evil dragon ""Ja"" have a 
heart-to-heart. With a new understanding between them, they leave Ja's 
home and set off for town together. Though their companionship is brief,
 it paves the way for Ja's hilarious travels and his many encounters 
throughout the world.",dragon,adventurer,dragon,0,0,0
124797,Jikan Teishi Yuusha,Time Stop Hero,"After being cancelled on social media, 
Sekai Kuzuno falls into despair and wishes so hard to leave his life 
behind that he suddenly finds himself in a fantasy RPG world. He has 
nothing but the clothes on his back...and his handy game controller. 
With a press of the pause button, he becomes a literal Time Stop Hero. 
Running off with money, one-shotting static mobs, and flipping the 
skirts of every girl in sight, Sekai’s desires are boundless, but his 
power isn’t! If he doesn’t clear the game in three days, time will stop 
for Sekai—forever!",human,hero,time stop,0,0,1
116167,Jimi na Kensei wa Soredemo Saikyou desu,The World's Least Interesting Master Swordsman,"A Japanese student named Shirokuro Sansui died because of God's mistake and was teleported to a different world. He claimed that he wishes to become 'the strongest,' so he received a referral letter addressed to a sage from God and 500 years of training from the sage. When he reached a stage where he could be called 'the strongest' in the common people's standard, he stumbles upon a baby near his training grounds, and there, he finally starts his adventure in another world. His training was simple, his techniques are simple, he's the strongest but he looks simple. With an ordinary wooden sword in hand, the fight of the simple-looking Sword Saint has just begun.",human,swordman,sword,0,0,0
119022,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,"Great heroes and diabolical villains are 
the types of characters that people long to be—but not Cid Kagenou. He 
longs to become the true mastermind behind it all, pulling the strings, 
and having his machinations drive the entire story. In his previous life
 in modern-day Japan, he was not able to achieve his goals. But now, 
reborn into a world of magic, he will show the true eminence of shadow!



As Cid pretends to be just another average mob character, he recruits 
members to his (fake) organization Shadow Garden, aiming to take down 
the mysterious cult who lurks in the shadows. With plenty of ad-libs, 
Cid leads his (fake) organization against the foul (yet surprisingly 
real) Diabolos Cult.",human,assassin,sword,1,1,0
108197,Kaifuku Jutsushi no Yarinaoshi,Redo of Healer,"Keyaru's tragedy began the moment he was 
granted the title of ""Healer Hero."" Although his healing ability was top
 tier, he lacked offensive capability, so his party deemed him a tool 
rather than a person. The strongest mage, Princess Flare Arlgrande 
Jioral, got him addicted to a particular drug that caused him to lose 
his sanity, and he became a plaything for her and his party's sadistic 
pleasures.



However, in the final battle, Keyaru turns the tables and uses his 
abilities to rewind time to four years ago. Now, his memories remain 
intact, but his torturers are none the wiser. His first victim is the 
princess; he has his way with her and then wipes her memories. She now 
believes herself to be ""Freia,"" Keyaru's most devoted follower, willing 
to pleasure him in any way she can.



Alongside more beautiful women he brings into his fold, Keyaru sets out 
on a path of revenge, satisfying his desires and showing the true might 
of the Healer Hero.",human,hero,healer,1,0,1
130204,Kami no Techigai de Shindara Cheat Gun Tsumi de Isekai ni Hourikomaremashita,I Was Killed By A God's Mistake And Now I'm An Extremely Overpowered Adventurer In Another World,"Tomoya Sadoshima died after a serious 
accident after returning to a convenience store. Then, after regaining 
consciousness in a pure white world, a woman of divine beauty emerged, 
she introduces herself as ""The Goddess of Creation."" The goddess of 
creation prepared a remedy for her suffering, she offers him to 
reincarnate a different world than his own. But it was a world in a war 
situation with the demon king.",human,adventurer,?,0,0,1
66685,Kekkon Yubiwa Monogatari,Tales of Wedding Rings,"Satou has been in love with his childhood friend and neighbor, Hime, ever since she and her grandfather appeared out of nowhere 10 years ago. Now a dazzling, yet mysterious high school beauty, she makes it more and more difficult for him to confess his feelings. As the anniversary of their first meeting is nearing, will he muster up his courage to transform their friendship into something more? Or will an entirely different fate await this tightly bonded pair?",human,hero,sword,0,0,1
107261,Kemono Michi,Animal Road Rise Up!,"Pro-wrestler Shibata Genzo who's maniac pet animals suddenly was summoned to a different world. Genzo was asked by the princess to get rid of the evil beasts called monsters roaming in this world. Outraged that he was asked to kill monsters, he german suplexed the princess. Unable to get back to earth, he decided to live a slow peaceful life in this world. This is a story about an eccentric Japanese man who was a former pro wrestler and manages a ""Monster Pet"" shop.",human,wrestle,physical strength,0,1,0
100377,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,"In one of the worlds that exist within 
virtual reality, Kagami held the title of one of the Nine Sages, a 
position that placed him at the pinnacle of magicians.



One day, he fell asleep in-game after pulling an all-nighter. When he 
opened his eyes, what he found was a world that was different to the one
 before... More important than anything else, was that the grizzled and 
dignified veteran's body that he was used to, had now turned into an 
innocent little girl's.



If his true identity was leaked, honestly speaking it was a situation 
where it was very possible that the solemn image he had built up until 
now would be destroyed.



And to deal with this problem, the excuse that he came up with was...",human,summoner,summoner,0,0,0
99377,Kenja no Mago,Wise Man's Grandchild,"Thanks to various magic, the human race has been saved from calamity 
many, many times. Retaining his memories from his previous life, a boy, 
Shin, was picked up by an old man known to the world as the ""Magi.""

Shin was brought up by the Magi, who had retired to a secular place, as 
his own grandson. With the memories of his past life, he absorbed the 
Magi's craft and grew to be able to develop his own magic

Then, the grandfather told him he has to become independent when he reaches the age of 15.

""Ah, I forgot to teach him common sense.""

The grandson who has grown beyond the level of normal people, lacked 
common sense; the common sense of the world. So to learn how to 
socialize, he goes to Earlshide Kingdom City to be admitted to Earlshide
 Advanced Magic Academy.",human,student,magic,0,0,0
82399,Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat,The Golden Word Master - The Four Heroes and the Innocent Bystander with the Unique Cheat,"Okamura Hiiro is introverted and loves books. To him, books are his raison d'etre. His story starts with usual gimmick of summoning of heroes. Five people summoned, but one of them is just an outsider dragged in accidentally, that person is Hiiro. The four others are his classmates, but it's not like they are friends. Unlike him, they are riajuus. Hiiro decided not to help the country, his reason? ""I don't believe you. I'm not friends with them. It's not my business, and I'm an ordinary person who cares for my own life, so bye,"" and he sets for his own journey. Little does others know, that this ordinary person, Hiiro, actually hides a power which could change the world!",human,adventurer,magic,1,1,0
80385,Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!,"Kazuma Satou is a reserved 16-year-old who 
loses his life in a tragic yet laughable accident. After his untimely 
death, Kazuma finds himself standing before Aqua—the self-proclaimed 
water goddess who presents him two with choices: to ascend to heaven or 
reincarnate in a real fantasy world. Picking the latter, Kazuma gets 
tasked with defeating the Demon King, an occurring threat in his new 
world. However, Aqua's provocative attitude strikes a nerve, and in the 
heat of the moment, Kazuma takes her along.



Kazuma and Aqua, now stuck together in another world, embark on a 
journey. They soon acquire two more companions: Megumin, an archwizard 
wielding devastating explosion magic; and Lalatina ""Darkness"" Dustiness 
Ford, a crusader with a worrisome case of masochism. The four of them 
form an odd party, each member contributing their unique share of power 
and a peculiar personality. Unfortunately, their adventure soon proves 
to be challenging and costly, Kazuma's new life may be nothing but a 
headache.",human,adventurer,high luck,0,1,0
116772,Kono Yuusha ga Ore Tueee Kuse ni Shinchou sugiru,"This Hero is Invincible but ""Too Cautious""","In the celestial realm, deities oversee 
countless worlds in need of help; a goddess's task is to summon heroes 
and aid their quest to defeat the evil in each. Rookie goddess Ristarte,
 however, has been dealt a terrible hand: she must save Gaeabrande, a 
world labeled with the S-rank difficulty. While sifting through the hero
 resumés, she comes across a sheet detailing the abilities of a certain 
Seiya Ryuuguuin and is astonished by his ridiculously high stats. An 
elated Ristarte wastes no time in summoning Seiya to the celestial 
realm, failing to notice the comment on his personality: unbelievably 
cautious.



Ristarte soon despairs at his bizarre insistence on caution. He has no 
qualms with unleashing his most powerful ability to vaporize a weak 
slime, buying out a pharmacy's entire stock of potions, or refusing to 
do battle unless he is 600% certain of the outcome. However, Seiya's 
rabid obsession with safety might just be what is needed to save 
Gaeabrande.",human,hero,cautious,1,1,0
113752,Kuma Kuma Kuma Bear,,"Yuna, a 15-year-old girl, started playing the world's first VRMMO. She has earned billions of yen in stocks, and confines herself in her house playing the game without going to school. Today, a major update has arrived and she obtained a non-transferable rare bear outfit. But the equipment is so embarrassing that she can't wear it even in the game. Furthermore, when she answers the survey regarding the new update and relaunches the game, she appears in and unknown forest in the bear outfit. Where is this? Email from God? A different world? If she wears the bear outfit she's a cheat, if she takes it off she's a normal girl. Her adventure starts just like that. Yuna began doing whatever she wanted.",human,adventurer,bear,0,1,0
